Name,Height,Zone,Easting,Northing,Latitude,Longitude,Points
"Achilles, Mount",1363,55G,4 15 135,53 65 355,-41.85916,145.97754,3
"Acropolis, The",1480,55G,4 22 195,53 56 995,-41.93518,146.06148,4
Adamsons Peak,1225,55G,4 85 800,52 00 280,-43.3502,146.82479,3
"Aldebaran, Mount",1107,55G,4 46 630,52 19 270,-43.17745,146.34333,3
"Anne, Mount",1423,55G,4 53 010,52 45 375,-42.94281,146.42403,6
Barn Bluff,1559,55G,4 10 420,53 80 305,-41.72401,145.92299,4
Ben Nevis,1368,55G,5 52 325,54 15 565,-41.40976,147.62606,2
"Berry, Mount",651,55G,4 20 730,52 05 110,-43.30267,146.02265,3
"Bisdee, Mount",1005,55G,4 74 410,51 91 260,-43.43112,146.68383,4
Black Bluff,1339,55G,4 12 670,54 10 640,-41.45107,145.95446,2
"Bobs, Mount",1111,55G,4 67 300,52 06 390,-43.29461,146.59688,5
Bonds Craig,1260,55G,4 40 750,52 90 680,-42.53399,146.27851,3
"Byron, Mount",1375,55G,4 22 155,53 46 485,-42.02982,146.05961,2
Castle Crag/Falling Mtn,1482,55G,4 25 150,53 59 770,-41.91047,146.09747,4
Centre Star,943,55G,4 37 170,52 86 510,-42.57126,146.23446,3
"Citadel, The",929,55G,4 23 880,52 43 620,-42.95626,146.06677,3
Clear Hill,1198,55G,4 40 370,52 74 950,-42.67561,146.27224,2
Clumner Bluff,1458,55G,4 38 100,53 76 930,-41.75705,146.2554,2
Clytemnestra,1271,55G,4 02 550,53 17 820,-42.28575,145.81802,4
Conical Mountain,1124,55G,4 30 670,52 91 130,-42.5291,146.15583,2
Coronation Peak,1054,55G,4 19 370,52 48 440,-42.9124,146.01218,6
"Counsel, Mount",802,55G,4 38 080,51 89 130,-43.44817,146.23474,3
Cradle Mountain,1545,55G,4 12 730,53 84 690,-41.68478,145.9514,4
"Curly, Mount",1065,55G,4 33 000,52 91 190,-42.52877,146.18421,4
"Cuvier, Mount",1378,55G,4 19 260,53 46 970,-42.02516,146.02471,3
Diamond Peak,1066,55G,4 21 740,52 98 430,-42.46252,146.04811,8
East Portal,1008,55G,4 54 600,52 14 310,-43.22263,146.44098,3
Eldon Bluff,1361,55G,4 02 770,53 52 170,-41.97647,145.82642,5
Eldon Peak,1439,55G,3 94 980,53 52 350,-41.97385,145.73244,5
Federation Peak,1225,55G,4 57 460,52 08 910,-43.27142,146.47578,10
"Field West, Mount",1434,55G,4 60 240,52 77 235,-42.65632,146.51489,3
Frankland Peak,1083,55G,4 30 470,52 40 260,-42.98714,146.14714,3
Frenchmans Cap,1446,55G,4 03 540,53 19 610,-42.26975,145.83033,7
"Gables, The",1058,55G,4 55 850,52 11 380,-43.24909,146.45614,2
"Gell, Mount",1447,55G,4 19 460,53 32 770,-42.15306,146.02517,4
"Geryon (North), Mount",1516,55G,4 21 625,53 57 795,-41.92792,146.05471,5
"Geryon (South), Mount",1509,55G,4 21 625,53 57 630,-41.9294,146.05469,8
"Gould, Mount",1491,55G,4 21 335,53 52 620,-41.97449,146.05053,4
Goulds Sugarloaf,1425,55G,4 17 240,53 42 310,-42.06692,145.99965,2
Greystone Bluff,1019,55G,4 23 020,52 30 310,-43.07601,146.05439,4
"Guardians, The",1394,55G,4 19 065,53 52 730,-41.97327,146.02315,3
Hartz Peak,1254,55G,4 81 160,52 11 900,-43.24547,146.76793,2
"Hayes, Mount",1119,55G,4 38 800,52 24 260,-43.13193,146.24755,3
High Dome,1366,55G,4 11 160,53 50 940,-41.98854,145.92748,5
"Hobhouse, Mount",1222,55G,4 38 080,53 15 465,-42.31059,146.24867,1
"Hopetoun, Mount",1087,55G,4 59 660,52 11 690,-43.24651,146.50309,4
"Hugel, Mount",1403,55G,4 24 390,53 38 210,-42.10456,146.08554,2
"Humboldt, Mount",1069,55G,4 16 090,52 86 910,-42.56566,145.97771,6
"Hyperion, Mount",1480,55G,4 20 070,53 59 200,-41.91511,146.03615,3
"Ida, Mount",1239,55G,4 30 700,53 47 690,-42.01977,146.16297,3
Innes High Rocky,1083,55G,4 29 250,52 96 970,-42.47639,146.13927,4
Ironbound Range,1061,55G,4 57 190,51 83 590,-43.49939,146.47047,3
