Name,Height,Zone,Easting,Northing,Latitude,Longitude,Points
Abbotts Lookout,1106,55G,4 71 700,52 63 490,-42.78061,146.65402,1
"Achilles, Mount",1363,55G,4 15 135,53 65 355,-41.85916,145.97754,3
"Acropolis, The",1480,55G,4 22 195,53 56 995,-41.93518,146.06148,4
Adamsons Peak,1225,55G,4 85 800,52 00 280,-43.3502,146.82479,3
"Albert, Mount",1120,55G,5 72 935,54 22 145,-41.34889,147.87183,1
"Aldebaran, Mount",1107,55G,4 46 630,52 19 270,-43.17745,146.34333,3
"Anne, Mount",1423,55G,4 53 010,52 45 375,-42.94281,146.42403,6
"Arthur, Mount",1188,55G,5 24 260,54 30 390,-41.27756,147.28968,2
Barn Bluff,1559,55G,4 10 420,53 80 305,-41.72401,145.92299,4
"Barrow, Mount",1420,55G,5 34 950,54 19 400,-41.37616,147.41795,1
"Beecroft, Mount",1136,55G,4 03 190,53 97 110,-41.57183,145.83881,2
Ben Nevis,1368,55G,5 52 325,54 15 565,-41.40976,147.62606,2
Black Bluff Range,1340,55G,4 11 220,54 09 820,-41.4583,145.93698,1
"Bobs, Mount",1111,55G,4 67 300,52 06 390,-43.29461,146.59688,5
Bonds Craig,1260,55G,4 40 750,52 90 680,-42.53399,146.27851,3
Brewery Knob,1203,55G,4 09 430,53 88 940,-41.64614,145.9124,1
"Byron, Mount",1375,55G,4 22 155,53 46 485,-42.02982,146.05961,2
Camp Hill,1172,55G,4 03 840,53 44 400,-42.04657,145.83806,1
"Campbell, Mount",1248,55G,4 14 455,53 87 895,-41.6561,145.97259,1
Castle Crag/Falling Mtn,1482,55G,4 25 150,53 59 770,-41.91047,146.09747,4
Castle Mountain,1208,55G,4 04 420,53 50 550,-41.99126,145.84606,2
Cheyne Range,1290,55G,4 18 790,53 37 180,-42.11327,146.01767,2
"Chimera, The",1111,55G,4 24 050,53 31 920,-42.16117,146.0806,2
Clear Hill,1198,55G,4 40 370,52 74 950,-42.67561,146.27224,2
Clumner Bluff,1458,55G,4 38 100,53 76 930,-41.75705,146.2554,2
Clytemnestra,1271,55G,4 02 550,53 17 820,-42.28575,145.81802,4
Collins Bonnet,1260,55G,5 12 200,52 52 050,-42.88405,147.1494,2
Conical Mountain,1124,55G,4 30 670,52 91 130,-42.5291,146.15583,2
Cradle Mountain,1545,55G,4 12 730,53 84 690,-41.68478,145.9514,4
"Cuvier, Mount",1378,55G,4 19 260,53 46 970,-42.02516,146.02471,3
Dome Hill,1177,55G,4 03 420,53 56 950,-41.93351,145.83504,2
Drys Bluff,1330,55G,4 83 865,53 81 940,-41.71417,146.80604,1
Du Cane Range,1520,55G,4 21 285,53 58 740,-41.91937,146.05074,1
"Dundas, Mount",1143,55G,3 73 370,53 60 710,-41.8954,145.47349,2
Eldon Bluff,1361,55G,4 02 770,53 52 170,-41.97647,145.82642,5
Eldon Peak,1439,55G,3 94 980,53 52 350,-41.97385,145.73244,5
Eldon Range,1321,55G,4 00 910,53 53 170,-41.96723,145.80414,4
"Emmett, Mount",1410,55G,4 15 335,53 81 915,-41.71005,145.98231,1
Federation Peak,1225,55G,4 57 460,52 08 910,-43.27142,146.47578,10
"Field East, Mount",1274,55G,4 71 020,52 77 500,-42.65442,146.64643,2
"Field West, Mount",1434,55G,4 60 240,52 77 235,-42.65632,146.51489,3
