Name,Height,Zone,Easting,Northing,Latitude,Longitude,Points
Abbotts Lookout,1106,55G,4 71 700,52 63 490,-42.78061,146.65402,1
"Achilles, Mount",1363,55G,4 15 135,53 65 355,-41.85916,145.97754,3
"Acropolis, The",1480,55G,4 22 195,53 56 995,-41.93518,146.06148,4
Adamsons Peak,1225,55G,4 85 800,52 00 280,-43.3502,146.82479,3
"Agnew, Mount",848,55G,3 52 920,53 60 520,-41.89357,145.22703,1
"Albert, Mount",1120,55G,5 72 935,54 22 145,-41.34889,147.87183,1
"Aldebaran, Mount",1107,55G,4 46 630,52 19 270,-43.17745,146.34333,3
"Alexandra, Mount",933,55G,4 79 390,51 92 440,-43.42065,146.7454,2
Algonkian Mountain,1073,55G,4 22 250,53 06 220,-42.39242,146.05537,4
"Alma, Mount",866,55G,4 14 780,53 29 840,-42.17894,145.9681,2
"Amos, Mount",454,55G,6 07 370,53 32 340,-42.15371,148.29958,1
"Anne, Mount",1423,55G,4 53 010,52 45 375,-42.94281,146.42403,6
"Arrowsmith, Mount",981,55G,4 23 680,53 26 430,-42.21057,146.07541,1
"Arthur, Mount",1188,55G,5 24 260,54 30 390,-41.27756,147.28968,2
Back Peak,1140,55G,4 05 020,53 91 740,-41.62041,145.8599,1
Barn Bluff,1559,55G,4 10 420,53 80 305,-41.72401,145.92299,4
"Barrow, Mount",1420,55G,5 34 950,54 19 400,-41.37616,147.41795,1
Bastion Bluff,1386,55G,4 59 160,53 81 795,-41.71459,146.50906,1
Battlement Hills,917,55G,4 39 410,52 95 430,-42.49112,146.2627,1
"Beecroft, Mount",1136,55G,4 03 190,53 97 110,-41.57183,145.83881,2
Ben Nevis,1368,55G,5 52 325,54 15 565,-41.40976,147.62606,2
"Berry, Mount",651,55G,4 20 730,52 05 110,-43.30267,146.02265,3
"Bertha, Mount",703,55G,3 52 650,54 27 860,-41.28725,145.24033,2
Billopp Bluff,1238,55G,4 98 010,53 67 350,-41.84575,146.97603,1
"Bisdee, Mount",1005,55G,4 74 410,51 91 260,-43.43112,146.68383,4
Bishop and Clerk (West),599,55G,5 91 430,52 84 070,-42.59037,148.11435,1
Bishop Peak,1378,55G,4 27 640,53 64 410,-41.86892,146.12806,1
Black Bluff,1339,55G,4 12 670,54 10 640,-41.45107,145.95446,2
"Black, Mount",929,55G,3 80 650,53 75 580,-41.76264,145.56422,1
"Blackboy, Mount",882,55G,5 73 390,54 16 280,-41.40167,147.87798,1
"Blackwood, Mount",1326,55G,4 89 840,53 70 540,-41.81695,146.87767,1
Blue Peaks,1350,55G,4 47 890,53 81 640,-41.71533,146.37357,1
Bobs Knobs,981,55G,4 67 920,52 02 650,-43.32831,146.60431,1
"Bobs, Mount",1111,55G,4 67 300,52 06 390,-43.29461,146.59688,5
Bonds Craig,1260,55G,4 40 750,52 90 680,-42.53399,146.27851,3
"Boomerang, The",1081,55G,4 68 750,52 05 915,-43.29894,146.61473,2
"Bowes, Mount",956,55G,4 51 710,52 55 080,-42.85534,146.40893,2
"Braddon, Mount",727,55G,4 30 840,52 18 590,-43.18229,146.14898,3
Bradys Lookout,1362,55G,4 93 270,53 67 600,-41.84347,146.91894,1
Bradys Sugarloaf,1024,55G,4 61 270,53 21 420,-42.25846,146.53044,1
"Brock, Mount",623,55G,4 27 220,51 89 320,-43.44549,146.10056,1
