Name,Height,Zone,Easting,Northing,Latitude,Longitude,Points
Abbotts Lookout,1106,55G,4 71 700,52 63 490,-42.78061,146.65402,1
Abel Peak,602,55G,4 04 070,52 98 500,-42.4599,145.83324,1
Abrotanella Rise,1023,55G,4 66 245,52 15 445,-43.21302,146.58443,1
"Achilles, Mount",1363,55G,4 15 135,53 65 355,-41.85916,145.97754,4
"Acropolis, The",1480,55G,4 22 195,53 56 995,-41.93518,146.06148,4
Adams Peak,1300,55G,4 74 540,53 79 230,-41.73834,146.69383,1
Adamsons Peak,1225,55G,4 85 800,52 00 280,-43.3502,146.82479,3
"Agnew, Mount",848,55G,3 52 920,53 60 520,-41.89357,145.22703,1
"Albert, Mount",1120,55G,5 72 935,54 22 145,-41.34889,147.87183,1
"Aldebaran, Mount",1107,55G,4 46 630,52 19 270,-43.17745,146.34333,3
"Alexandra, Mount",933,55G,4 79 390,51 92 440,-43.42065,146.7454,2
Algonkian Mountain,1073,55G,4 22 250,53 06 220,-42.39242,146.05537,4
"Allen, Mount",453,55G,6 02 200,53 72 400,-41.79367,148.23006,1
Alma Tier,1075,55G,5 04 570,53 37 840,-42.11152,147.05528,1
"Alma, Mount",866,55G,4 14 780,53 29 840,-42.17894,145.9681,2
Alpha Pinnacle,650,55G,5 25 540,52 85 740,-42.58033,147.31123,1
"Amos, Mount",454,55G,6 07 370,53 32 340,-42.15371,148.29958,1
Anderson Bluff,1092,55G,4 65 835,52 14 625,-43.22039,146.57933,2
"Andrew, Mount",475,55G,5 99 560,53 67 800,-41.83543,148.19907,1
"Ann, Mount",594,55G,5 28 570,53 04 920,-42.4075,147.3472,1
"Anne, Mount",1423,55G,4 53 010,52 45 375,-42.94281,146.42403,6
"Anstey, Mount",470,55G,5 24 950,53 13 750,-42.3281,147.30282,1
Archers Sugarloaf,650,55G,4 67 930,53 86 160,-41.67568,146.61471,1
Arnold Peak,760,55G,3 84 880,53 64 830,-41.86007,145.61301,1
"Arnon, Mount",310,55G,5 09 270,54 03 610,-41.51909,147.1111,1
"Arrowsmith, Mount",981,55G,4 23 680,53 26 430,-42.21057,146.07541,1
"Arthur, Mount",447,55G,5 66 300,52 21 830,-43.15338,147.81544,1
"Arthur, Mount",1140,55G,5 17 880,52 52 030,-42.88412,147.21895,1
"Arthur, Mount",1188,55G,5 24 260,54 30 390,-41.27756,147.28968,2
Arthurs Peak,300,55G,5 73 530,52 18 150,-43.18584,147.90485,1
Artillery Knob,1215,55G,4 14 950,53 86 210,-41.67133,145.97829,1
"Asbestos, Mount",392,55G,4 74 450,54 46 440,-41.13294,146.69559,1
Asgard Crag,1390,55G,5 55 910,53 92 910,-41.61357,147.67105,1
"Augusta, Mount",329,55G,5 41 130,53 51 920,-41.98365,147.49651,1
Back Peak,1140,55G,4 05 020,53 91 740,-41.62041,145.8599,1
Badger Hill,720,55G,5 24 330,52 87 730,-42.56245,147.2964,1
"Bains, Mount",335,55G,5 34 070,52 88 640,-42.55389,147.415,1
Bakers Tier,951,55G,4 87 530,53 36 080,-42.12729,146.84913,1
"Balfour, Mount",436,55G,3 22 630,54 27 230,-41.28688,144.88185,1
"Banks, Mount",532,55G,5 24 940,51 90 660,-43.43654,147.30817,1
"Bare, Mount",1078,55G,4 08 700,54 05 480,-41.4971,145.90616,1
Baretop Ridge,679,55G,3 69 790,54 26 510,-41.30236,145.44465,1
Barn Bluff,1559,55G,4 10 420,53 80 305,-41.72401,145.92299,5
Barren Tier,1188,55G,4 79 610,53 48 670,-42.01373,146.75374,1
"Barrow, Mount",1420,55G,5 34 950,54 19 400,-41.37616,147.41795,1
Bastion Bluff,1386,55G,4 59 160,53 81 795,-41.71459,146.50906,1
"Bastion, The",1107,55G,3 82 740,53 53 580,-41.96105,145.585,2
Battlement Hills,917,55G,4 39 410,52 95 430,-42.49112,146.2627,1
"Baudin, Mount",413,55G,6 08 450,53 32 930,,,1
