Series,Name,MGRS
7618,King Island,55PC
7815,Nelson Bay,55DN
7816,Welcome,55DP
7817,Three Hummock,55DR
7912,Spero,55DQ
7913,Cape Sorell,55DT
7914,Pieman,55DV
7915,Arthur River,55DX
7916,Circular Head,55DZ
8011,Port Davey,55EV
8012,Olga,55EX
8013,Franklin,55EY
8014,Sophia,55GD
8015,Inglis,55GF
8111,Old River,55GQ
8112,Wedge,55GS
8113,Nive,55GU
8114,Mersey,55GW
8115,Forth,55GY
8210,South Cape,55HV
8211,Huon,55HX
8212,Tyenna,55HZ
8213,Shannon,55JD
8214,Meander,55JF
8215,Tamar,55JH
8311,D'Entrecasteaux,55JM
8312,Derwent,55JQ
8313,Lake Sorell,55JS
8314,South Esk,55JU
8315,Pipers,55JW
8411,Storm Bay,55KD
8412,Nugent,55KF
8413,Little Swanport,55KH
8414,St Pauls,55KJ
8415,Forester,55KL
8416,Cape Portland,55KN
8512,Maria,55KQ
8513,Freycinet,55KS
8514,Break O'Day,55KU
8515,Georges Bay,55KW
8516,Swan Island,55KY
8517,Flinders Island,55LA
