Series,Name,Parent
3047,Cameron,TH03
3239,Interview,TK03
3240,Lagoon,TK03
3241,Lily,TK03
3242,Balfour,TJ03
3436,Heemskirk,TL04
3438,Livingstone,TL04
3439,Meredith,TK04
3440,Savage River,TK04
3442,Bertha,TJ04
3631,Philips,TN04
3632,Teepookana,TN04
3635,Oceana,TM04
3636,Dundas,TL04
3638,Parsons,TL04
3639,Ramsay,TK04
3640,Luina,TK04
3641,Waratah,TK04
3642,Baretop,TJ04
3644,Folly,TJ04
3645,Milabena,TH05
3646,Mawbanna,TH05
3825,Osmund,TQ05
3826,Moores,TQ05
3827,Innes,TP05
3828,D'Aguilar,TP05
3829,Limekiln,TP05
3830,McCall,TN05
3831,Engineer,TN05
3832,Darwin,TN05
3833,Owen,TM05
3834,Gormanston,TM05
3835,Tyndall,TM05
3836,Selina,TL05
3837,Tullah,TL05
3838,Block,TL05
3839,Charter,TK05
3840,Pearse,TK05
3842,Parrawe,TJ05
3843,Tewkesbury,TJ05
4022,Davey,TS05
4023,Propsting,TS05
4024,Rookery,TQ05
4025,View,TQ05
4026,Serpentine,TQ05
4027,Olegas,TP05
4028,Lancelot,TP05
4029,Abel,TP05
4030,Warnes,TN05
4031,Vera,TN05
4032,Loddon,TN05
4033,Collingwood,TM05
4034,Goulds,TM05
4035,Dome,TM05
4036,Achilles,TL05
4037,Will,TL05
4038,Cradle,TL05
4039,Pencil Pine,TK05
4040,Lea,TK05
4041,Loongana,TK05
4042,Loyetea,TJ05
4043,Riana,TJ05
4044,Stowport,TJ05
4217,Telopea,TT06
4218,Cox,TS06
4219,Melaleuca,TS06
4220,Rugby,TS06
4221,Legge,TR06
4222,Crossing,TR06
4223,Maconochie,TR06
4224,Solitary,TQ06
4225,McPartlan,TQ06
4226,Strathgordon,TQ06
4228,Pokana,TP06
4229,Spires,TP06
4230,Algonkian,TN06
4231,Majors,TN06
4232,Arrowsmith,TN06
4233,Rufus,TM06
4234,Olympus,TM06
4235,Ducane,TM06
4236,Cathedral,TL06
4237,Rowallan,TL06
4238,Borradaile,TL06
4240,Cethana,TK06
4242,Castra,TJ06
4244,Ulverstone,TJ06
