Series,Name,Parent,MGRS,eastingMin,eastingMax,northingMin,northingMax,mgrsMid,eastingMid,northingMid,p1,p2,p3,p4,p5,p6,p7,p8,,,,,,,,,,,,,,,,,,,,,,,,
TS07,Adamsons,8211,DM  DN,60000,99999,80000,9999,DM,80000,95000,DN6000009999,DN9999909999,DM9999980000,DM6000080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF10,Armstrong,7916,ER FR  ,80000,19999,10000,39999,FR,00000,25000,ER8000039999,FR1999939999,FR1999910000,ER8000010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TL09,Avoca,8214,EP   ,40000,79999,60000,89999,EP,60000,75000,EP4000089999,EP7999989999,EP7999960000,EP4000060000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TD10,Babel,8517,ER FR  ,80000,19999,70000,99999,FR,00000,85000,ER8000099999,FR1999999999,FR1999970000,ER8000070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG09,Banks Strait,,EQ ER,40000,79999,80000,9999,EQ,60000,95000,ER4000009999,ER7999909999,EQ7999980000,EQ4000080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS06,Bathurst,8011,DM DN,20000,59999,80000,9999,DM,40000,95000,DN2000009999,DN5999909999,DM5999980000,DM2000080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJ10,Bay of Fires,8514,EQ FQ  ,80000,19999,20000,49999,FQ,00000,35000,EQ8000049999,FQ1999949999,FQ1999920000,EQ8000020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TK09,Ben Lomond,8414,EP  EQ ,40000,79999,90000,19999,EQ,60000,5000,EQ4000019999,EQ7999919999,EP7999990000,EP4000090000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TK05,Black Bluff,7914,CP DP CQ DQ,80000,19999,90000,19999,DQ,00000,5000,CQ8000019999,DQ1999919999,DP1999990000,CP8000090000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC09,Blyth,7816,ES   ,40000,79999,0,29999,ES,60000,15000,ES4000029999,ES7999929999,ES7999900000,ES4000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
