Peak,Elev-M,Prom-M,Country,State/Prov,County,Range,Url,PeakBagger PID,Latitude,Longitude,note,osmId,safeToCreate
Abbotts Lookout,1103,561,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=74023,74023,,,matched via exact name,2418790348,false
Abel Peak,602,342,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78072,78072,,,matched via exact name,2491839803,false
Acheron Peak,890,380,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77933,77933,,,unresolved: no confident spatial match and no strong-name match,,true
Adamsons Peak,1225,474,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=70588,70588,,,matched via exact name,2385896539,false
Albert Hill,451,221,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78091,78091,,,unresolved: no confident spatial match and no strong-name match,,true
Alexandra Hills,580,260,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77016,77016,,,unresolved: no confident spatial match and no strong-name match,,true
Algonkian Mountain,1073,463,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78077,78077,,,matched via exact name,2319164228,false
Anderson Bluff,1092,292,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78139,78139,,,matched via exact name,2384916851,false
Archers Sugarloaf,650,240,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=119850,119850,,,unresolved: no confident spatial match and no strong-name match,,true
Argent Hill,560,330,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77794,77794,,,unresolved: no confident spatial match and no strong-name match,,true
Artist Hill,566,176,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77831,77831,,,matched via exact name,13566056686,false
Asbestos Range High Point,390,180,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=136171,136171,,,unresolved: no confident spatial match and no strong-name match,,true
Atkins Range,690,210,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78118,78118,,,unresolved: no confident spatial match and no strong-name match,,true
Badger Peak,570,250,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78225,78225,,,unresolved: no confident spatial match and no strong-name match,,true
Badger Peak,570,250,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78225,78225,,,unresolved: no confident spatial match and no strong-name match,,true
Bakers Ridge,580,380,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78235,78235,,,unresolved: no confident spatial match and no strong-name match,,true
Balaclava Hill,914,244,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77837,77837,,,unresolved: no confident spatial match and no strong-name match,,true
Bare Hill,277,241,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78248,78248,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Bare Hill),,false
Barn Back,706,356,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78016,78016,,,unresolved: no confident spatial match and no strong-name match,,true
Barn Bluff,1559,622,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=11510,11510,,,matched via exact name,647633411,false
Battlement Hills,920,190,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77990,77990,,,matched via exact name,2452437194,false
Battlement Hills - East Peak,893,173,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77989,77989,,,unresolved: no confident spatial match and no strong-name match,,false
Bedlam Wall,922,172,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77833,77833,,,matched via exact name,2362806713,false
Bell Mount,803,223,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=229664,229664,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Mount Bell),,false
Ben Nevis,1368,558,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=11506,11506,,,matched via exact name,2362782753,false
Big Silver,333,193,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=120044,120044,,,unresolved: no confident spatial match and no strong-name match,,true
Black Bluff Range,1340,510,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=76402,76402,,,unresolved: no confident spatial match and no strong-name match,,false
Black Hill,684,164,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77036,77036,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Black Hill),,false
Blackwater Hill,374,286,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78209,78209,,,unresolved: no confident spatial match and no strong-name match,,true
Blue Hill,554,204,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78145,78145,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Blue Hill),,false
Bobs Knobs,981,151,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78194,78194,,,matched via exact name,2371745690,false
Bonds Craig,1260,170,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=84138,84138,,,matched via exact name,2372928093,false
Boyd Hill,870,260,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78130,78130,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Boyd Hill),,false
Boyd Island High Point,579,271,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=74082,74082,,,unresolved: no confident spatial match and no strong-name match,,true
Bradshaws Hill,511,204,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77911,77911,,,unresolved: no confident spatial match and no strong-name match,,true
Bradys Sugarloaf,1024,284,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=100870,100870,,,matched via exact name,2360040550,false
Brains Hill,412,262,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=154425,154425,,,matched via strong-name fallback,3008759585,false
Brewery Knob,1203,153,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=76405,76405,,,matched via exact name,2359580617,false
Brougham Sugarloaf,452,362,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=119776,119776,,,unresolved: no confident spatial match and no strong-name match,,true
Brown Mountain,792,352,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=100869,100869,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Brown Mountain),,false
Buckies Bonnet,728,318,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78127,78127,,,unresolved: no confident spatial match and no strong-name match,,true
Butlers Hill,670,200,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=154426,154426,,,matched via exact name,3008759595,false
Byatts Razorback,1015,344,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=49553,49553,,,matched via exact name,2360133706,false
Camp Hill,1172,202,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=76444,76444,,,matched via exact name,2364311337,false
Campbells Hill South,999,619,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=87650,87650,,,unresolved: no confident spatial match and no strong-name match,,false
Cape Sorrell Plateau,270,220,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78026,78026,,,unresolved: no confident spatial match and no strong-name match,,true
Carbonate Hill,670,150,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77919,77919,,,unresolved: no confident spatial match and no strong-name match,,true
Castle Mountain,1208,262,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=76441,76441,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Castle Mountain),,false
Celtic Hill,771,181,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78132,78132,,,matched via exact name,2358494623,false
Centaurus Ridge,1043,163,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78174,78174,,,matched via exact name,2358381916,false
Centre Star,943,263,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77987,77987,,,unresolved: no confident spatial match and no strong-name match,,true
Chalmers Hill,737,256,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77007,77007,,,unresolved: no confident spatial match and no strong-name match,,true
Cheyne Range,1290,150,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=76434,76434,,,matched via exact name,2402942705,false
Cinder Hill,850,380,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78213,78213,,,matched via exact name,2407665086,false
Clear Hill,1198,758,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=34589,34589,,,matched via exact name,2401398355,false
Cluan Tiers,860,220,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=100859,100859,,,unresolved: no confident spatial match and no strong-name match,,true
Clumner Bluff,1458,218,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=11511,11511,,,matched via exact name,2362597026,false
Collins Bonnet,1261,282,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=74128,74128,,,matched via exact name,2478513264,false
Collins Cap,1094,188,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=74127,74127,,,matched via exact name,661992334,false
Commonwealth Hill,676,206,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77793,77793,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Commonwealth Hill),,false
Conical Mountain,1124,242,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=76449,76449,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Conical Mountain),,false
Convergence Hill,660,410,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78136,78136,,,unresolved: no confident spatial match and no strong-name match,,true
Convict Peak,587,364,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78070,78070,,,matched via exact name,2498987661,false
Counsels Peak,509,424,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=74086,74086,,,matched via exact name,3008759630,false
Cracroft Hills,890,585,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77940,77940,,,unresolved: no confident spatial match and no strong-name match,,true
Cracroft Hills - Northwest Peak,792,312,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77939,77939,,,unresolved: no confident spatial match and no strong-name match,,true
Cradle Mountain,1545,355,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=11509,11509,,,matched via exact name,59141009,false
Crescent Mountain,390,160,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=136213,136213,,,matched via exact name,2358585346,false
Crest Range,1020,420,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78189,78189,,,unresolved: no confident spatial match and no strong-name match,,true
Crossing Peak,486,206,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78226,78226,,,unresolved: no confident spatial match and no strong-name match,,true
Crossing Sugarloaf,499,319,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78224,78224,,,unresolved: no confident spatial match and no strong-name match,,true
Cummings Head,1260,180,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=76396,76396,,,unresolved: no confident spatial match and no strong-name match,,false
Curtis Island High Point,335,335,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=74083,74083,,,unresolved: no confident spatial match and no strong-name match,,true
D'Aguilar Range,680,190,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78030,78030,,,unresolved: no confident spatial match and no strong-name match,,true
Davey Head,346,315,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78210,78210,,,matched via exact name,2939016561,false
Davey Sugarloaf,512,382,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78228,78228,,,matched via exact name,2939016562,false
